SURVYEAR	NCESSCH	FIPST	LEAID	SCHNO	STID	SEASCH	LEANM	SCHNAM	PHONE	MSTREE	MCITY	MSTATE	MZIP	MZIP4	LSTREE	LCITY	LSTATE	LZIP	LZIP4	TYPE	STATUS	ULOCAL	LATCOD	LONCOD	CONUM	CONAME	CDCODE	GSLO	GSHI	CHARTR
2011	040000100120	04	0400001	00120	4244	5134	CAVE CREEK UNIFIED DISTRICT	BLACK MOUNTAIN ELEMENTARY SCHOOL	4805752021	P O BOX 426	CAVE CREEK	AZ	85327		33606 NORTH 60TH ST	SCOTTSDALE	AZ	85266		1	1	12	33.790489	-111.953935	04013	MARICOPA COUNTY	0405	KG	06	2
2011	040000100616	04	0400001	00616	4244	5136	CAVE CREEK UNIFIED DISTRICT	DESERT SUN ACADEMY	4805752021	P O BOX 426	CAVE CREEK	AZ	85327	0426	27880 NORTH 64TH ST	SCOTTSDALE	AZ	85266		1	1	12	33.737316	-111.944769	04013	MARICOPA COUNTY	0405	PK	06	2
2011	040000101203	04	0400001	01203	4244	5135	CAVE CREEK UNIFIED DISTRICT	DESERT ARROYO MIDDLE SCHOOL	4805752021	PO BOX 426	CAVE CREEK	AZ	85327		33401 NORTH 56TH ST	CAVE CREEK	AZ	85331		1	6	12	33.788035	-111.958447	04013	MARICOPA COUNTY	0405	06	08	2
2011	040000101204	04	0400001	01204	4244	5137	CAVE CREEK UNIFIED DISTRICT	CACTUS SHADOWS HIGH SCHOOL	4805752021	PO BOX 426	CAVE CREEK	AZ	85327		5802 EAST DOVE VALLEY RD	SCOTTSDALE	AZ	85266		1	1	12	33.785166	-111.956373	04013	MARICOPA COUNTY	0405	07	12	2
2011	040000101871	04	0400001	01871	4244	78911	CAVE CREEK UNIFIED DISTRICT	SONORAN TRAILS MIDDLE SCHOOL	4805752021	P.O.BOX 426	CAVE CREEK	AZ	85327		5555 EAST PINNACLE VISTA DR	PHOENIX	AZ	85085		1	1	41	33.732355	-111.961850	04013	MARICOPA COUNTY	0403	07	08	2
2011	040000101872	04	0400001	01872	4244	78912	CAVE CREEK UNIFIED DISTRICT	DESERT WILLOW ELEMENTARY SCHOOL	4805752021	P.O. BOX 427	CAVE CREEK	AZ	85327		4322 EAST DESERT WILLOW PARKWA	CAVE CREEK	AZ	85331		1	1	11	33.769121	-111.987520	04013	MARICOPA COUNTY	0403	KG	06	2
2011	040000102344	04	0400001	02344	4244	80056	CAVE CREEK UNIFIED DISTRICT	LONE MOUNTAIN ELEMENTARY SCHOOL	4805752021	PO BOX 426	CAVE CREEK	AZ	85327		5250 EAST MONTGOMERY RD	CAVE CREEK	AZ	85331		1	1	11	33.763848	-111.967336	04013	MARICOPA COUNTY	0403	KG	06	2
2011	040000102484	04	0400001	02484	4244	87477	CAVE CREEK UNIFIED DISTRICT	HORSESHOE TRAILS ELEMENTARY SCHOOL	4805752021	P.O. BOX 426	CAVE CREEK	AZ	85327		5405 EAST PINNACLE VISTA DR	PHOENIX	AZ	85085		1	1	41	33.733012	-111.966341	04013	MARICOPA COUNTY	0403	KG	06	2
2011	040000300147	04	0400003	00147	4474	6108	CHINO VALLEY UNIFIED DISTRICT	DEL RIO ELEMENTARY SCHOOL	9286362458	BOX 225	CHINO VALLEY	AZ	86323	0225	1036 NORTH RD 1 WEST	CHINO VALLEY	AZ	86323	0225	1	1	41	34.761182	-112.466286	04025	YAVAPAI COUNTY	0401	PK	05	2
2011	040000301198	04	0400003	01198	4474	6109	CHINO VALLEY UNIFIED DISTRICT	HERITAGE MIDDLE SCHOOL	9286362458	PO BOX 225	CHINO VALLEY	AZ	86323	0225	1076 NORTH RD 1 WEST	CHINO VALLEY	AZ	86323	0225	1	1	41	34.762593	-112.466774	04025	YAVAPAI COUNTY	0401	05	08	2
2011	040000301458	04	0400003	01458	4474	6110	CHINO VALLEY UNIFIED DISTRICT	CHINO VALLEY HIGH SCHOOL	9286362458	P.O. BOX 225	CHINO VALLEY	AZ	86323	0225	760 EAST CENTER ST	CHINO VALLEY	AZ	86323	0225	1	1	32	34.747048	-112.452645	04025	YAVAPAI COUNTY	0401	PK	12	2
2011	040000301969	04	0400003	01969	4474	78928	CHINO VALLEY UNIFIED DISTRICT	TERRITORIAL ELEMENTARY SCHOOL	9286362458	PO BOX 225	CHINO VALLEY	AZ	86323		1088 MAHAN LN	CHINO VALLEY	AZ	86323		1	1	32	34.765784	-112.445860	04025	YAVAPAI COUNTY	0401	KG	05	2
